index,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
206449,554938,23203,JUMBO BAG DOILEY PATTERNS,10,2011-05-27T13:34:00Z,2.08,12876.0,Belgium
206450,554938,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,12,2011-05-27T13:34:00Z,1.65,12876.0,Belgium
206451,554938,85017B,ENVELOPE 50 BLOSSOM IMAGES,12,2011-05-27T13:34:00Z,0.42,12876.0,Belgium
206452,554938,85032B,BLOSSOM IMAGES GIFT WRAP SET,72,2011-05-27T13:34:00Z,0.65,12876.0,Belgium
206453,554938,21931,JUMBO STORAGE BAG SUKI,10,2011-05-27T13:34:00Z,2.08,12876.0,Belgium
206454,554938,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-05-27T13:34:00Z,2.08,12876.0,Belgium
206455,554938,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2011-05-27T13:34:00Z,2.08,12876.0,Belgium
206456,554938,20719,WOODLAND CHARLOTTE BAG,20,2011-05-27T13:34:00Z,0.85,12876.0,Belgium
206457,554938,22355,CHARLOTTE BAG SUKI DESIGN,20,2011-05-27T13:34:00Z,0.85,12876.0,Belgium
206458,554938,20723,STRAWBERRY CHARLOTTE BAG,20,2011-05-27T13:34:00Z,0.85,12876.0,Belgium
206459,554938,20724,RED RETROSPOT CHARLOTTE BAG,20,2011-05-27T13:34:00Z,0.85,12876.0,Belgium
206460,554938,22356,CHARLOTTE BAG PINK POLKADOT,20,2011-05-27T13:34:00Z,0.85,12876.0,Belgium
206461,554938,23204,CHARLOTTE BAG APPLES DESIGN,20,2011-05-27T13:34:00Z,0.85,12876.0,Belgium
206462,554938,22027,TEA PARTY BIRTHDAY CARD,12,2011-05-27T13:34:00Z,0.42,12876.0,Belgium
206463,554938,21881,CUTE CATS TAPE,12,2011-05-27T13:34:00Z,0.65,12876.0,Belgium
206464,554938,21880,RED RETROSPOT TAPE,12,2011-05-27T13:34:00Z,0.65,12876.0,Belgium
206465,554938,21884,CAKES AND BOWS GIFT  TAPE,12,2011-05-27T13:34:00Z,0.65,12876.0,Belgium
206466,554938,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2011-05-27T13:34:00Z,1.65,12876.0,Belgium
206467,554938,21481,FAWN BLUE HOT WATER BOTTLE,36,2011-05-27T13:34:00Z,2.55,12876.0,Belgium
206468,554938,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,2011-05-27T13:34:00Z,4.95,12876.0,Belgium
